,99098014,99098015,99098021,99098022,99098025,99098031,99098032,99098033,99098035,99098036,99098039,99098046,99098050,99098074,99098075,99098076,99098077,99098080,99098086,99098090,99098102,99098110,99098137,99098143,99098147,99098199,99098222,99098234,99098235,99098236,99098237,99098238,99099603,99099605,99099614,99099648,1
99098014,0.0,2517.9,3906.3,3391.0,3174.2,1900.4,976.0,5803.1,2977.1,3699.9,2890.5,1484.1,8188.2,3136.1,3136.1,2536.7,2536.7,4158.7,2572.0,4764.9,976.0,2122.8,4223.4,4245.9,4223.4,5881.6,7444.0,3954.0,3954.0,10064.3,9995.0,5885.5,2571.4,4891.0,3167.4,3531.4,6754.7
99098015,2101.1,0.0,2415.2,3206.8,5217.9,3742.0,2837.0,6929.2,3724.5,2208.8,981.8,3299.6,9314.3,1652.8,1652.8,4580.4,4580.4,4906.1,1010.0,6808.6,2837.0,2293.7,4369.8,4993.3,4369.8,3335.8,7428.9,5080.1,5080.1,11190.4,11121.1,7011.5,422.3,4849.7,5211.1,4279.5,7502.8
99098021,3772.6,3180.8,0.0,6166.2,6889.5,5413.6,4508.6,8600.8,6256.4,2122.7,3404.6,4971.2,10985.8,4075.7,4075.7,6252.0,6252.0,6287.1,2338.9,8480.2,4508.6,5045.4,5768.5,6948.9,5768.5,4201.2,9324.0,6751.6,6751.6,12861.9,12792.7,6985.4,3234.3,5853.6,6882.7,7039.6,7973.4
99098022,2087.0,2837.5,4965.7,0.0,4332.9,1617.8,1451.1,6916.2,1605.7,3778.4,1830.2,1099.2,9301.2,2075.8,2075.8,3715.7,3715.7,2787.3,3631.4,3174.8,1451.1,1176.7,3154.2,2874.5,3154.2,4994.6,8557.1,5067.0,5067.0,11177.3,11108.1,6998.5,2614.3,6004.1,4326.1,2160.7,5384.0
99098025,3013.8,4556.7,5945.1,4060.9,0.0,2231.9,2875.5,7842.0,3625.0,5738.7,4929.3,2924.7,10227.0,5174.9,5174.9,1079.2,1079.2,4806.6,4610.8,2452.4,2875.5,4161.6,5229.1,3425.5,5229.1,7920.4,9482.8,5992.8,5992.8,12103.1,12033.9,7924.3,4610.2,6929.8,655.9,1959.8,5363.6
99098031,2169.7,3712.6,5101.0,1877.8,2751.6,0.0,956.4,6997.8,1463.8,4894.6,2854.5,654.7,9382.9,3100.1,3100.1,2134.5,2134.5,2645.4,3766.7,3032.3,956.4,2210.4,3068.0,2732.6,3068.0,7076.3,8638.7,5148.7,5148.7,11259.0,11189.7,7080.2,3766.0,6085.7,2744.8,2018.1,5241.4
99098032,1276.8,2767.0,4155.4,2441.1,3355.5,950.5,0.0,6105.9,2027.1,3949.0,2067.3,508.1,8491.0,2312.9,2312.9,2718.0,2718.0,3208.7,2821.1,3595.6,0.0,1299.6,3400.2,3295.9,3400.2,4703.2,7746.8,4256.8,4256.8,10367.1,10297.8,6188.2,2820.4,5193.8,3348.7,2581.5,5804.7
99098033,5698.8,7430.1,8818.5,8265.3,8048.5,6774.7,6498.3,0.0,7851.4,8612.1,7802.8,6960.8,2901.9,8048.4,8048.4,7118.2,7118.2,9033.0,7484.2,9639.2,6498.3,7035.1,9135.7,9120.2,9135.7,10793.8,3578.4,2673.4,2673.4,4778.0,4708.8,4227.9,7483.5,4501.5,8041.7,8405.7,11629.0
99098035,2505.9,3256.4,5384.5,627.2,3975.4,1281.3,1824.4,7335.0,0.0,4197.2,2249.1,1522.7,9720.1,2494.7,2494.7,3358.3,3358.3,2017.8,4050.3,2817.4,1824.4,1595.6,1966.2,2105.0,1966.2,5413.5,8975.9,5485.9,5485.9,11596.2,11526.9,7417.4,3033.1,6422.9,3968.6,1803.2,3372.9
