,99098003,99098004,99098005,99098006,99098024,99098027,99098034,99098043,99098045,99098052,99098056,99098081,99098108,99098109,99098121,99098123,99098125,99098126,99098127,99098128,99098160,99098164,99098200,99098201,99098202,99098204,99098220,99099602,99099610,99099622,99099624,99099626,99099627,99099639,99099645,3
99098121,6189.4,6189.4,4346.6,10610.2,4050.2,13085.5,16146.7,5896.0,15893.0,14289.4,14779.5,13175.8,9697.4,9182.5,0.0,3019.8,5355.0,6003.6,4187.2,15184.4,9536.2,3547.6,4736.2,4736.2,5717.3,4736.2,5355.0,6683.0,31872.9,5717.3,3547.6,9697.4,12838.9,3078.9,850.2,6189.4
99098123,3926.1,3926.1,5027.8,10514.4,6938.7,13458.5,16827.9,3632.7,16574.2,14970.6,16916.6,16475.3,10070.5,9555.5,2137.1,0.0,3205.5,6376.7,1373.0,12921.1,9909.3,1284.3,5109.2,5109.2,6513.0,5109.2,3205.5,4419.7,32554.2,6513.0,1284.3,10070.5,13212.0,5216.0,2557.8,3926.1
99098125,4070.5,4070.5,4862.6,10349.2,8802.7,15322.5,16662.8,3777.1,16409.1,14805.4,17954.8,16351.1,11934.5,11419.5,4017.9,3233.5,0.0,8240.6,2980.6,13065.4,11773.3,2339.3,6973.2,6973.2,8377.0,6973.2,0.0,4564.0,32389.0,8377.0,2339.3,11934.5,15075.9,7426.3,4438.6,4070.5
99098126,9635.4,9635.4,7766.1,13252.7,2944.6,8407.1,19566.3,9342.0,19312.6,17708.9,13136.4,11423.9,5019.1,4504.1,4901.8,6465.7,8800.9,0.0,6697.7,18630.3,4857.9,6993.5,1387.0,1387.0,2093.0,1387.0,8800.9,10129.0,35292.5,2093.0,6993.5,5019.1,8160.5,5650.1,4487.3,9635.4
99098127,3797.7,3797.7,5688.2,11174.8,6590.9,10504.1,17488.4,3504.3,17234.7,15631.0,17577.1,17135.7,10730.9,10215.9,2797.5,1329.7,3244.9,7037.1,0.0,12792.7,10569.7,1155.9,5769.6,5769.6,7173.4,5769.6,3244.9,4291.3,33214.6,7173.4,1155.9,10730.9,13872.4,5876.4,3218.2,3797.7
99098128,10423.8,10423.8,17291.6,19385.5,17948.9,21862.1,21612.0,10130.4,21358.3,19754.7,29180.4,28739.1,22334.3,21819.3,14400.9,12933.1,13235.7,18640.5,12773.2,0.0,22173.1,12213.1,17373.0,17373.0,18776.8,17373.0,13235.7,10917.3,37802.0,18776.8,12213.1,22334.3,25475.8,17479.8,14821.6,10423.8
99098160,13349.7,13349.7,11480.4,16967.0,6658.9,3163.4,23280.5,13056.3,23026.8,21423.1,12583.2,10870.7,3173.8,472.6,8616.1,10180.0,12515.2,3714.3,10411.9,22344.6,0.0,10707.8,5101.3,5101.3,4007.2,5101.3,12515.2,13843.2,38570.3,4007.2,10707.8,3173.8,2916.8,7739.4,8201.6,13349.7
99098164,2641.9,2641.9,5890.9,11377.5,7399.3,11312.4,17691.0,2348.5,17437.3,15833.7,17779.7,17338.4,10933.6,10418.6,3000.2,1532.4,2630.1,7239.8,1372.5,11636.8,10772.4,0.0,5972.3,5972.3,7376.1,5972.3,2630.1,3135.4,33417.3,7376.1,0.0,10933.6,14075.1,6079.1,3420.9,2641.9
99098200,8302.6,8302.6,6433.3,11919.9,2042.4,10299.1,18233.5,8009.2,17979.8,16376.1,15028.3,13315.9,6911.0,6396.1,3569.1,5133.0,7468.1,3217.2,5364.9,17297.6,6749.8,5660.8,0.0,0.0,3259.6,0.0,7468.1,8796.2,33959.7,3259.6,5660.8,6911.0,10052.5,4317.3,3154.5,8302.6
99098201,8302.6,8302.6,6433.3,11919.9,2042.4,10299.1,18233.5,8009.2,17979.8,16376.1,15028.3,13315.9,6911.0,6396.1,3569.1,5133.0,7468.1,3217.2,5364.9,17297.6,6749.8,5660.8,0.0,0.0,3259.6,0.0,7468.1,8796.2,33959.7,3259.6,5660.8,6911.0,10052.5,4317.3,3154.5,8302.6
